chief_complaint_raw,cc_stripped
acute upper GI bleed haematemesis in known patient,acute upper GI bleed haematemesis
"acute upper GI bleed haematemesis, constant",acute upper GI bleed haematemesis
"acute upper GI bleed haematemesis, for 2 days",acute upper GI bleed haematemesis
"acute upper GI bleed haematemesis, intermittent",acute upper GI bleed haematemesis
"acute upper GI bleed haematemesis, no prior history of this",acute upper GI bleed haematemesis
"acute upper GI bleed haematemesis, onset today",acute upper GI bleed haematemesis
"acute upper GI bleed haematemesis, since yesterday",acute upper GI bleed haematemesis
"acute upper GI bleed haematemesis, worsening with movement",acute upper GI bleed haematemesis
acute upper GI bleed haematemesis，worsening over hours,acute upper GI bleed haematemesis
acute upper GI bleed haematemesis with associated nausea,acute upper GI bleed haematemesis with associated nausea
acute upper GI bleed haematemesis with diaphoresis,acute upper GI bleed haematemesis with diaphoresis
acute upper GI bleed haematemesis with fever,acute upper GI bleed haematemesis with fever
acute upper GI bleed haematemesis with rigors,acute upper GI bleed haematemesis with rigors
acute upper GI bleed haematemesis with vomiting,acute upper GI bleed haematemesis with vomiting
acute urinary retention,acute urinary retention
acute urinary retention in known patient,acute urinary retention
"acute urinary retention, constant",acute urinary retention
"acute urinary retention, for 2 days",acute urinary retention
"acute urinary retention, intermittent",acute urinary retention
"acute urinary retention, no prior history of this",acute urinary retention
"acute urinary retention, onset today",acute urinary retention
"acute urinary retention, since yesterday",acute urinary retention
"acute urinary retention, worsening with movement",acute urinary retention
acute urinary retention，worsening over hours,acute urinary retention
acute urinary retention with associated nausea,acute urinary retention with associated nausea
acute urinary retention with diaphoresis,acute urinary retention with diaphoresis
acute urinary retention with fever,acute urinary retention with fever
acute urinary retention with renal failure,acute urinary retention with renal failure
acute urinary retention with renal failure in known patient,acute urinary retention with renal failure
"acute urinary retention with renal failure, for 2 days",acute urinary retention with renal failure
"acute urinary retention with renal failure, intermittent",acute urinary retention with renal failure
"acute urinary retention with renal failure, no prior history of this",acute urinary retention with renal failure
"acute urinary retention with renal failure, onset today",acute urinary retention with renal failure
"acute urinary retention with renal failure, since yesterday",acute urinary retention with renal failure
"acute urinary retention with renal failure, worsening with movement",acute urinary retention with renal failure
acute urinary retention with renal failure，worsening over hours,acute urinary retention with renal failure
acute urinary retention with renal failure with associated nausea,acute urinary retention with renal failure with associated nausea
acute urinary retention with renal failure with diaphoresis,acute urinary retention with renal failure with diaphoresis
acute urinary retention with renal failure with fever,acute urinary retention with renal failure with fever
acute urinary retention with renal failure with rigors,acute urinary retention with renal failure with rigors
acute urinary retention with renal failure with vomiting,acute urinary retention with renal failure with vomiting
acute urinary retention with rigors,acute urinary retention with rigors
acute urinary retention with vomiting,acute urinary retention with vomiting
acute vertigo with vomiting,acute vertigo with vomiting
acute vertigo with vomiting in known patient,acute vertigo with vomiting
"acute vertigo with vomiting, constant",acute vertigo with vomiting
"acute vertigo with vomiting, for 2 days",acute vertigo with vomiting
"acute vertigo with vomiting, intermittent",acute vertigo with vomiting
"acute vertigo with vomiting, no prior history of this",acute vertigo with vomiting
"acute vertigo with vomiting, onset today",acute vertigo with vomiting
"acute vertigo with vomiting, since yesterday",acute vertigo with vomiting
"acute vertigo with vomiting, worsening with movement",acute vertigo with vomiting
acute vertigo with vomiting，worsening over hours,acute vertigo with vomiting
acute vertigo with vomiting with associated nausea,acute vertigo with vomiting with associated nausea
acute vertigo with vomiting with diaphoresis,acute vertigo with vomiting with diaphoresis
acute vertigo with vomiting with fever,acute vertigo with vomiting with fever
acute vertigo with vomiting with rigors,acute vertigo with vomiting with rigors
acute vertigo with vomiting with vomiting,acute vertigo with vomiting with vomiting
administrative query,administrative query
administrative query in known patient,administrative query
"administrative query, constant",administrative query
"administrative query, for 2 days",administrative query
"administrative query, intermittent",administrative query
"administrative query, no prior history of this",administrative query
"administrative query, onset today",administrative query
"administrative query, since yesterday",administrative query
"administrative query, worsening with movement",administrative query
administrative query，worsening over hours,administrative query
administrative query with associated nausea,administrative query with associated nausea
administrative query with diaphoresis,administrative query with diaphoresis
administrative query with fever,administrative query with fever
administrative query with rigors,administrative query with rigors
administrative query with vomiting,administrative query with vomiting
adrenal crisis with shock,adrenal crisis with shock
adrenal crisis with shock in known patient,adrenal crisis with shock
"adrenal crisis with shock, constant",adrenal crisis with shock
"adrenal crisis with shock, for 2 days",adrenal crisis with shock
"adrenal crisis with shock, no prior history of this",adrenal crisis with shock
"adrenal crisis with shock, onset today",adrenal crisis with shock
"adrenal crisis with shock, since yesterday",adrenal crisis with shock
"adrenal crisis with shock, worsening with movement",adrenal crisis with shock
adrenal crisis with shock，worsening over hours,adrenal crisis with shock
adrenal crisis with shock with associated nausea,adrenal crisis with shock with associated nausea
adrenal crisis with shock with diaphoresis,adrenal crisis with shock with diaphoresis
adrenal crisis with shock with fever,adrenal crisis with shock with fever
adrenal crisis with shock with rigors,adrenal crisis with shock with rigors
adrenal crisis with shock with vomiting,adrenal crisis with shock with vomiting
alcohol withdrawal mild,alcohol withdrawal
alcohol withdrawal mild in known patient,alcohol withdrawal
"alcohol withdrawal mild, constant",alcohol withdrawal
"alcohol withdrawal mild, for 2 days",alcohol withdrawal
"alcohol withdrawal mild, intermittent",alcohol withdrawal
"alcohol withdrawal mild, no prior history of this",alcohol withdrawal
"alcohol withdrawal mild, onset today",alcohol withdrawal
"alcohol withdrawal mild, since yesterday",alcohol withdrawal
"alcohol withdrawal mild, worsening with movement",alcohol withdrawal
alcohol withdrawal mild，worsening over hours,alcohol withdrawal
alcohol withdrawal mild with associated nausea,alcohol withdrawal  with associated nausea
alcohol withdrawal mild with diaphoresis,alcohol withdrawal  with diaphoresis
alcohol withdrawal mild with fever,alcohol withdrawal  with fever
alcohol withdrawal mild with rigors,alcohol withdrawal  with rigors
alcohol withdrawal mild with vomiting,alcohol withdrawal  with vomiting
allergic rash moderate,allergic rash
allergic rash moderate in known patient,allergic rash
"allergic rash moderate, constant",allergic rash
